G_(5.841, 37.8], All else equal, will team which has *less than 40 Games played* achieve higher or lower rank compared to previous year?
G_(37.8, 69.6], All else equal, will team which has *between 40 and 70 Games played* achieve higher or lower rank compared to previous year?
G_(69.6, 101.4], All else equal, will team which has *between 70 and 100 Games played* achieve higher or lower rank compared to previous year?
G_(101.4, 133.2], All else equal, will team which has *between 100 and 130 Games played* achieve higher or lower rank compared to previous year?
G_(133.2, 165], All else equal, will team which has *more than 130 Games played* achieve higher or lower rank compared to previous year?
Ghome_(43.96, 52], All else equal, will team which has *less than 50 Games played at home* achieve higher or lower rank compared to previous year?
Ghome_(52, 60], All else equal, will team which has *between 50 and 60 Games played at home* achieve higher or lower rank compared to previous year?
Ghome_(60, 68], All else equal, will team which has *between 60 and 68 Games played at home* achieve higher or lower rank compared to previous year?
Ghome_(68, 76], All else equal, will team which has *between 68 and 76 Games played at home* achieve higher or lower rank compared to previous year?
Ghome_(76, 84], All else equal, will team which has *more than 76 Games played at home* achieve higher or lower rank compared to previous year?
W_(-0.116, 23.2], All else equal, will team which has *less than 23 Wins* achieve higher or lower rank compared to previous year?
W_(23.2, 46.4], All else equal, will team which has *between 23 and 45 Wins* achieve higher or lower rank compared to previous year?
W_(46.4, 69.6], All else equal, will team which has *between 45 and 70 Wins* achieve higher or lower rank compared to previous year?
W_(69.6, 92.8], All else equal, will team which has *between 70 and 90 Wins* achieve higher or lower rank compared to previous year?
W_(92.8, 116], All else equal, will team which has *more than 90 Wins* achieve higher or lower rank compared to previous year?
L_(3.87, 30], All else equal, will team which has *less than 30 Losses* achieve higher or lower rank compared to previous year?
L_(30, 56], All else equal, will team which has *between 30 and 55 Losses* achieve higher or lower rank compared to previous year?
L_(56, 82], All else equal, will team which has *between 55 and 80 Losses* achieve higher or lower rank compared to previous year?
L_(82, 108], All else equal, will team which has *between 80 and 100 Losses* achieve higher or lower rank compared to previous year?
L_(108, 134], All else equal, will team which has *more than 100 Losses* achieve higher or lower rank compared to previous year?
DivWin_N, All else equal, will team which *is not the Devision Winner* achieve higher or lower rank compared to previous year?
DivWin_Y, All else equal, will team which *is the Devision Winner* achieve higher or lower rank compared to previous year?
WCWin_N, All else equal, will team which *is not the Wild Card Winner* achieve higher or lower rank compared to previous year?
WCWin_Y, All else equal, will team which *is the Wild Card Winner* achieve higher or lower rank compared to previous year?
LgWin_N, All else equal, will team which *is not the League Champion Winner* achieve higher or lower rank compared to previous year?
LgWin_Y, All else equal, will team which *is the League Champion Winner* achieve higher or lower rank compared to previous year?
WSWin_N, All else equal, will team which *is not the World Series Winner* achieve higher or lower rank compared to previous year?
WSWin_Y, All else equal, will team which *is the World Series Winner* achieve higher or lower rank compared to previous year?
R_(22.804, 263.2], All else equal, will team which has *less than 263 Runs scored* achieve higher or lower rank compared to previous year?
R_(263.2, 502.4], All else equal, will team which has *between 263 and 500 Runs scored* achieve higher or lower rank compared to previous year?
R_(502.4, 741.6], All else equal, will team which has *between 500 and 740 Runs scored* achieve higher or lower rank compared to previous year?
R_(741.6, 980.8], All else equal, will team which has *between 740 and 980 Runs scored* achieve higher or lower rank compared to previous year?
R_(980.8, 1220], All else equal, will team which has *more than 980 Runs scored* achieve higher or lower rank compared to previous year?
AB_(205.43, 1325], All else equal, will team which has *less than 1325 At bats* achieve higher or lower rank compared to previous year?
AB_(1325, 2439], All else equal, will team which has *between 1325 and 2440 At bats* achieve higher or lower rank compared to previous year?
AB_(2439, 3553], All else equal, will team which has *between 2440 and 3550 At bats* achieve higher or lower rank compared to previous year?
AB_(3553, 4667], All else equal, will team which has *between 3550 and 4667 At bats* achieve higher or lower rank compared to previous year?
AB_(4667, 5781], All else equal, will team which has *more than 4667 At bats* achieve higher or lower rank compared to previous year?
H_(31.25, 383], All else equal, will team which has *less than 383 Hits by batters* achieve higher or lower rank compared to previous year?
H_(383, 733], All else equal, will team which has *between 383 and 733 Hits by batters* achieve higher or lower rank compared to previous year?
H_(733, 1083], All else equal, will team which has *between 733 and 1083 Hits by batters* achieve higher or lower rank compared to previous year?
H_(1083, 1433], All else equal, will team which has *between 1083 and 1433 Hits by batters* achieve higher or lower rank compared to previous year?
H_(1433, 1783], All else equal, will team which has *more than 1433 Hits by batters* achieve higher or lower rank compared to previous year?
2B_(2.627, 77.6], All else equal, will team which has *less than 80 Doubles* achieve higher or lower rank compared to previous year?
2B_(77.6, 152.2], All else equal, will team which has *between 80 and 150 Doubles* achieve higher or lower rank compared to previous year?
2B_(152.2, 226.8], All else equal, will team which has *between 150 and 230 Doubles* achieve higher or lower rank compared to previous year?
2B_(226.8, 301.4], All else equal, will team which has *between 230 and 300 Doubles* achieve higher or lower rank compared to previous year?
2B_(301.4, 376], All else equal, will team which has *more than 300 Doubles* achieve higher or lower rank compared to previous year?
3B_(-0.00502, 1.00346], All else equal, will team which has *less than 2 Triples* achieve higher or lower rank compared to previous year?
3B_(1.00346, 2.00691], All else equal, will team which has *between 2 and 6 Triples* achieve higher or lower rank compared to previous year?
3B_(2.00691, 3.0104], All else equal, will team which has *between 6 and 19 Triples* achieve higher or lower rank compared to previous year?
3B_(3.0104, 4.0138], All else equal, will team which has *between 19 and 54 Triples* achieve higher or lower rank compared to previous year?
