"education expenditures_(4.133, 5.6]",0.3451327434,0.5945945946,0.5897435897,0.4754115405,1.58893722196352E-005
"inflation rate_(1.9, 4.2]",0.3097345133,0.5897435897,0.6,0.4623840877,6.72842042185318E-005
region_3,0.1238938053,0.595959596,0.5714285714,0.3294603623,0.0001943489
"unemployment rate_[0.3, 6.433]",0.3362831858,0.5866666667,0.6052631579,0.4724370908,0.0002310662
"public debt_(61.733, 226.1]",0.3362831858,0.6,0.5789473684,0.4724370908,0.0002951551
"gdp growth rate_(1.6, 3.867]",0.3097345133,0.6025641026,0.5714285714,0.4623840877,0.0006177065
"net migration rate_(-0.677, 0.587]",0.3274336283,0.6052631579,0.5675675676,0.469276941,0.0009324353
"electricity consumption per person_(1320.325, 4244.0286]",0.3274336283,0.6052631579,0.5675675676,0.469276941,0.0009324353
"gdp_cap_(12142.774, 29204.352]",0.3274336283,0.5789473684,0.6216216216,0.469276941,0.0012036866
"pop_(4675733.333, 24082668.667]",0.3274336283,0.5789473684,0.6216216216,0.469276941,0.0012036866
"geographic area_(65403.333, 352014.667]",0.3274336283,0.5789473684,0.6216216216,0.469276941,0.0012036866
"gdp per capita_(10000, 22800]",0.3274336283,0.5789473684,0.6216216216,0.469276941,0.0012036866
"internet users ratio_(0.242, 0.521]",0.3274336283,0.5789473684,0.6216216216,0.469276941,0.0012036866
"exports per capita_(1134.119, 5496.676]",0.3274336283,0.5789473684,0.6216216216,0.469276941,0.0012036866
"public debt_[3.3, 37.7]",0.3451327434,0.6081081081,0.5641025641,0.4754115405,0.001304102
rel_muslim,0.1946902655,0.6043956044,0.5454545455,0.3959620765,0.0016150832
"gross national saving_(24.767, 61.4]",0.3362831858,0.6133333333,0.5526315789,0.4724370908,0.0024476348
continent_3,0.2477876106,0.5764705882,0.6428571429,0.4317278201,0.0024800267
"public debt_(37.7, 61.733]",0.3185840708,0.5714285714,0.6388888889,0.4659273126,0.0029749718
region_4,0.1150442478,0.58,0.6923076923,0.3190753341,0.0039523556
"life expectancy at birth_(73.247, 76.77]",0.3274336283,0.5657894737,0.6486486486,0.469276941,0.0045605151
"gross national saving_[-36.6, 17.4]",0.3451327434,0.6216216216,0.5384615385,0.4754115405,0.0046483639
"inflation rate_[-0.8, 1.9]",0.3539823009,0.5616438356,0.65,0.4782037553,0.0053815415
"obesity_(24.633, 42]",0.3362831858,0.56,0.6578947368,0.4724370908,0.006462022
"inflation rate_(4.2, 56.2]",0.3362831858,0.6266666667,0.5263157895,0.4724370908,0.0066776592
"education expenditures_[0.6, 4.133]",0.3362831858,0.6266666667,0.5263157895,0.4724370908,0.0066776592
antehost,0.0088495575,0.5892857143,1,0.0936549137,0.0067124566
host,0.0088495575,0.5892857143,1,0.0936549137,0.0067124566
"education expenditures_(5.6, 12.8]",0.3185840708,0.5584415584,0.6666666667,0.4659273126,0.0077018089
"health expenditures_(5.367, 7.7]",0.3451327434,0.6351351351,0.5128205128,0.4754115405,0.0100441121
"exports_(10071333333.333, 77193333333.333]",0.3274336283,0.5526315789,0.6756756757,0.469276941,0.0101164122
"electricity consumption_(7952000000, 55576666666.667]",0.3274336283,0.5526315789,0.6756756757,0.469276941,0.0101164122
"geographic area_(352014.667, 17098242]",0.3362831858,0.5466666667,0.6842105263,0.4724370908,0.0128327539
continent_5,0.017699115,0.5855855856,1,0.1318554374,0.0135043688
"gross national saving_(17.4, 24.767]",0.3185840708,0.5454545455,0.6944444444,0.4659273126,0.0146984356
"unemployment rate_(6.433, 13.3]",0.3274336283,0.5394736842,0.7027027027,0.469276941,0.0179278737
"internet users_(1167666.667, 6149000]",0.3274336283,0.5394736842,0.7027027027,0.469276941,0.0179278737
"geographic area_[261, 65403.333]",0.3362831858,0.6533333333,0.4736842105,0.4724370908,0.0213732449
"unemployment rate_(13.3, 85]",0.3362831858,0.6533333333,0.4736842105,0.4724370908,0.0213732449
"net migration rate_[-9.8, -0.677]",0.3362831858,0.6533333333,0.4736842105,0.4724370908,0.0213732449
"health expenditures_[1.9, 5.367]",0.3362831858,0.6533333333,0.4736842105,0.4724370908,0.0213732449
"gdp per capita_(22800, 102100]",0.3362831858,0.5333333333,0.7105263158,0.4724370908,0.0214468094
