Mjob_other_0,"If a secondary education *student's mother works in teaching, health care, civil services (e.g. administrative or police) or at_home*, what is the chance (or probability) that the student scored the same or better than the weaker half of the class? Give your best guess (between 0 and 1)."
Mjob_other_1,"If a secondary education *student's mother works in an other field than teaching, health care, civil services (e.g. administrative or police) or at_home*, what is the chance (or probability) that the student scored the same or better than the weaker half of the class? Give your best guess (between 0 and 1)."
Mjob_other,"What is the percentage of secondary education students *whose mothers work in an other field than teaching, health care, civil services (e.g. administrative or police) or at_home*? Give your best guess (between 0 and 1)."
higher==yes_0,"If a secondary education *student does not want to take higher education*, what is the chance (or probability) that the student scored the same or better than the weaker half of the class? Give your best guess (between 0 and 1)."
higher==yes_1,"If a secondary education *student wants to take higher education*, what is the chance (or probability) that the student scored the same or better than the weaker half of the class? Give your best guess (between 0 and 1)."
higher==yes,What is the percentage of secondary education students *willing to take higher education*? Give your best guess (between 0 and 1).
"absences_(21.333, 32]_0","If a secondary education *student has few or a medium number of absences at school*, what is the chance (or probability) that the student scored the same or better than the weaker half of the class? Give your best guess (between 0 and 1)."
"absences_(21.333, 32]_1","If a secondary education *student has many absences at school*, what is the chance (or probability) that the student scored the same or better than the weaker half of the class? Give your best guess (between 0 and 1)."
"absences_(21.333, 32]",What is the percentage of secondary education students *having many absences at school*? Give your best guess (between 0 and 1).
"failures_(-0.003, 1]_0","If a secondary education *student has failed more than one class*, what is the chance (or probability) that the student scored the same or better than the weaker half of the class? Give your best guess (between 0 and 1)."
"failures_(-0.003, 1]_1","If a secondary education *student has failed a maximum of one class*, what is the chance (or probability) that the student scored the same or better than the weaker half of the class? Give your best guess (between 0 and 1)."
"failures_(-0.003, 1]",What is the percentage of secondary education students *having failed a maximum of one class*? Give your best guess (between 0 and 1).
paid==yes_0,"If a secondary education *student has taken no extra paid lessons*, what is the chance (or probability) that the student scored the same or better than the weaker half of the class? Give your best guess (between 0 and 1)."
paid==yes_1,"If a secondary education *student has taken extra paid lessons*, what is the chance (or probability) that the student scored the same or better than the weaker half of the class? Give your best guess (between 0 and 1)."
paid==yes,What is the percentage of secondary education students *having taken extra paid lessons*? Give your best guess (between 0 and 1).
Fjob_teacher_0,"If a secondary education *student's father is not a teacher*, what is the chance (or probability) that the student scored the same or better than the weaker half of the class? Give your best guess (between 0 and 1)."
Fjob_teacher_1,"If a secondary education *student's father is a teacher*, what is the chance (or probability) that the student scored the same or better than the weaker half of the class? Give your best guess (between 0 and 1)."
Fjob_teacher,What is the percentage of secondary education students *whose father is a teacher*? Give your best guess (between 0 and 1).
"Medu_(-0.004, 1.333]_0","If a secondary education *student's mother had had more than Primary education until 4th grade*, what is the chance (or probability) that the student scored the same or better than the weaker half of the class? Give your best guess (between 0 and 1)."
